employment_status,monthly_income,monthly_expenses,goal_types,target_amount,target_duration,risk_tolerance,investment_experience,savings_investment,existing_loans,financial_discipline,strategy_name,strategy_description,risk_level,duration_year,return_rate
student,5000-10000,5000-10000,"['emergency fund', 'Buying house', 'vacation']",284488,13,moderate,intermediate,>10000,<5000,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,4,16.9%
employed,>10000,>10000,"['retirement', 'emergency fund', 'vacation']",135128,1,low,advanced,<5000,5000-10000,saver,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,6,11.1%
self-employed,<5000,5000-10000,"['retirement', 'education', 'Buying house']",241715,5,moderate,intermediate,0,5000-10000,balanced,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,5,6.9%
self-employed,5000-10000,<5000,"['education', 'vacation', 'Buying house']",444711,8,moderate,advanced,<5000,0,balanced,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,7,7.4%
unemployed,0,5000-10000,"['Buying house', 'emergency fund', 'education']",219184,10,moderate,intermediate,<5000,5000-10000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,6,3.2%
unemployed,<5000,<5000,"['education', 'Buying house', 'vacation']",464890,11,moderate,advanced,>10000,5000-10000,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,5,22.1%
unemployed,>10000,<5000,"['emergency fund', 'vacation', 'retirement']",112963,11,low,intermediate,0,>10000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,3,23.3%
retired,5000-10000,<5000,"['vacation', 'emergency fund', 'Buying house']",341063,1,high,advanced,<5000,<5000,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,3,17.3%
retired,>10000,>10000,"['vacation', 'education', 'Buying house']",169724,7,moderate,beginner,5000-10000,<5000,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,4,4.1%
retired,0,0,"['emergency fund', 'retirement', 'vacation']",20865,2,high,intermediate,<5000,5000-10000,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,24.7%
employed,0,5000-10000,"['vacation', 'retirement', 'Buying house']",61613,3,moderate,advanced,>10000,<5000,spender,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,3,12.1%
retired,0,<5000,"['Buying house', 'retirement', 'education']",168518,14,low,advanced,>10000,<5000,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,5,7.0%
self-employed,0,5000-10000,"['Buying house', 'education', 'emergency fund']",116918,17,moderate,advanced,>10000,>10000,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,4,18.9%
retired,>10000,<5000,"['education', 'Buying house', 'vacation']",304844,19,high,beginner,<5000,0,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,4,4.4%
retired,<5000,<5000,"['vacation', 'retirement', 'Buying house']",68292,7,high,advanced,>10000,5000-10000,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,5,4.0%
self-employed,<5000,0,"['retirement', 'education', 'Buying house']",87104,14,moderate,advanced,5000-10000,<5000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,6,4.8%
employed,<5000,>10000,"['Buying house', 'vacation', 'retirement']",153494,16,low,intermediate,0,5000-10000,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,6,3.2%
employed,5000-10000,5000-10000,"['Buying house', 'emergency fund', 'vacation']",25903,11,low,advanced,5000-10000,<5000,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,5,19.6%
self-employed,>10000,5000-10000,"['Buying house', 'vacation', 'emergency fund']",203208,18,low,beginner,0,>10000,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,6,6.0%
student,<5000,>10000,"['education', 'emergency fund', 'Buying house']",130169,2,high,advanced,0,0,spender,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,6,12.3%
unemployed,0,5000-10000,"['education', 'vacation', 'Buying house']",459535,13,low,beginner,>10000,0,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,5,21.0%
self-employed,>10000,0,"['vacation', 'Buying house', 'emergency fund']",494859,15,low,intermediate,>10000,5000-10000,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,20.3%
unemployed,>10000,<5000,"['emergency fund', 'Buying house', 'vacation']",191908,1,high,advanced,>10000,<5000,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,3,13.3%
self-employed,5000-10000,<5000,"['emergency fund', 'retirement', 'vacation']",89780,11,moderate,intermediate,<5000,<5000,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,3,4.7%
employed,<5000,>10000,"['retirement', 'Buying house', 'vacation']",420310,16,high,intermediate,0,5000-10000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,5,6.7%
unemployed,5000-10000,0,"['vacation', 'emergency fund', 'retirement']",164035,5,moderate,beginner,0,<5000,saver,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,5,12.6%
student,5000-10000,0,"['education', 'Buying house', 'retirement']",124472,11,high,intermediate,>10000,5000-10000,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,8,6.5%
retired,5000-10000,<5000,"['education', 'Buying house', 'retirement']",181529,11,high,beginner,<5000,>10000,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,5,4.7%
student,>10000,5000-10000,"['Buying house', 'retirement', 'vacation']",469357,17,moderate,intermediate,0,0,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,9,5.3%
retired,<5000,>10000,"['retirement', 'vacation', 'emergency fund']",272983,7,low,intermediate,<5000,<5000,spender,Stable Income,Dividend-focused strategy for consistent income.,low,5,5.2%
unemployed,0,>10000,"['education', 'emergency fund', 'Buying house']",153739,14,high,beginner,<5000,<5000,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,4,5.5%
student,0,0,"['Buying house', 'vacation', 'retirement']",309725,7,high,advanced,<5000,0,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,8,5.7%
student,0,0,"['education', 'retirement', 'vacation']",375349,18,high,beginner,5000-10000,5000-10000,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,5,5.5%
student,5000-10000,<5000,"['education', 'Buying house', 'emergency fund']",128453,14,moderate,advanced,<5000,5000-10000,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,6,15.0%
unemployed,5000-10000,5000-10000,"['emergency fund', 'retirement', 'education']",448349,4,high,intermediate,>10000,5000-10000,balanced,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,8,7.0%
self-employed,0,<5000,"['emergency fund', 'retirement', 'vacation']",89990,5,low,beginner,0,>10000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,4,4.8%
retired,0,<5000,"['emergency fund', 'education', 'retirement']",288371,18,high,intermediate,5000-10000,>10000,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,4,4.6%
retired,<5000,0,"['retirement', 'education', 'Buying house']",21601,1,high,advanced,0,0,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,4,18.5%
employed,5000-10000,5000-10000,"['Buying house', 'retirement', 'education']",340644,12,high,beginner,>10000,>10000,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,5,3.2%
student,>10000,0,"['education', 'Buying house', 'emergency fund']",232133,3,high,advanced,0,5000-10000,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,8,5.5%
retired,>10000,0,"['emergency fund', 'vacation', 'education']",61529,9,moderate,beginner,0,0,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,5,19.3%
unemployed,>10000,<5000,"['retirement', 'emergency fund', 'education']",394108,5,high,advanced,<5000,0,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,5,6.7%
retired,>10000,0,"['education', 'retirement', 'emergency fund']",252548,9,moderate,beginner,>10000,0,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,4,5.2%
unemployed,5000-10000,0,"['Buying house', 'emergency fund', 'education']",415613,1,low,advanced,>10000,<5000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,8,7.5%
student,0,0,"['Buying house', 'vacation', 'emergency fund']",408850,5,low,advanced,0,5000-10000,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,4,6.4%
student,<5000,<5000,"['Buying house', 'retirement', 'education']",28022,18,moderate,intermediate,<5000,<5000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,8,6.8%
employed,0,>10000,"['education', 'emergency fund', 'vacation']",117573,4,low,intermediate,5000-10000,5000-10000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,5,4.8%
unemployed,5000-10000,5000-10000,"['education', 'retirement', 'emergency fund']",257822,2,low,advanced,<5000,>10000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,10,7.7%
unemployed,5000-10000,5000-10000,"['retirement', 'vacation', 'Buying house']",178865,1,low,advanced,5000-10000,0,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,6,5.2%
employed,<5000,<5000,"['Buying house', 'retirement', 'emergency fund']",235215,1,low,advanced,>10000,<5000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,4,5.7%
retired,0,0,"['Buying house', 'emergency fund', 'retirement']",54338,18,low,intermediate,<5000,>10000,saver,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,3,11.9%
unemployed,0,<5000,"['retirement', 'Buying house', 'education']",201319,8,low,beginner,0,5000-10000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,20.2%
retired,5000-10000,<5000,"['vacation', 'retirement', 'emergency fund']",172457,13,high,beginner,<5000,<5000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,4,17.0%
employed,>10000,5000-10000,"['retirement', 'Buying house', 'emergency fund']",121051,13,high,intermediate,5000-10000,>10000,spender,Stable Income,Dividend-focused strategy for consistent income.,low,8,5.0%
self-employed,>10000,5000-10000,"['vacation', 'retirement', 'education']",215944,15,high,advanced,>10000,>10000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,4,5.6%
self-employed,>10000,<5000,"['Buying house', 'retirement', 'vacation']",385510,15,high,beginner,0,0,saver,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,4,10.5%
self-employed,<5000,>10000,"['vacation', 'retirement', 'education']",67405,14,low,advanced,<5000,<5000,saver,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,3,13.3%
student,0,>10000,"['emergency fund', 'Buying house', 'education']",92529,11,high,beginner,>10000,>10000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,9,6.6%
employed,<5000,<5000,"['retirement', 'emergency fund', 'education']",143749,8,high,advanced,<5000,>10000,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,3,19.3%
employed,>10000,<5000,"['retirement', 'vacation', 'emergency fund']",98726,7,moderate,intermediate,>10000,>10000,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,6,6.9%
student,<5000,>10000,"['vacation', 'Buying house', 'education']",66747,9,low,intermediate,5000-10000,0,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,9,5.2%
self-employed,<5000,5000-10000,"['vacation', 'education', 'emergency fund']",49762,18,low,beginner,>10000,<5000,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,23.5%
unemployed,0,5000-10000,"['vacation', 'emergency fund', 'education']",301459,15,high,advanced,<5000,5000-10000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,6,4.1%
employed,<5000,>10000,"['emergency fund', 'retirement', 'Buying house']",305549,8,high,beginner,0,<5000,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,5,3.4%
retired,0,0,"['education', 'vacation', 'retirement']",283410,9,low,intermediate,<5000,0,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,4,18.7%
self-employed,>10000,5000-10000,"['emergency fund', 'education', 'vacation']",394906,11,high,beginner,<5000,0,saver,Stable Income,Dividend-focused strategy for consistent income.,low,4,4.5%
unemployed,5000-10000,5000-10000,"['retirement', 'emergency fund', 'education']",121370,4,low,intermediate,>10000,>10000,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,7,14.1%
unemployed,<5000,<5000,"['Buying house', 'retirement', 'education']",178284,3,low,advanced,>10000,5000-10000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,7,7.4%
retired,0,5000-10000,"['education', 'Buying house', 'emergency fund']",435003,18,high,beginner,0,<5000,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,5,4.1%
student,>10000,0,"['education', 'Buying house', 'emergency fund']",256205,19,high,advanced,0,>10000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,5,6.4%
self-employed,<5000,0,"['Buying house', 'education', 'retirement']",267794,15,moderate,beginner,0,<5000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,4,18.6%
self-employed,0,0,"['retirement', 'education', 'emergency fund']",464093,3,low,beginner,<5000,>10000,spender,Stable Income,Dividend-focused strategy for consistent income.,low,5,5.1%
self-employed,0,5000-10000,"['education', 'emergency fund', 'retirement']",366904,3,moderate,beginner,<5000,0,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,8,5.1%
